Unnamed: 0,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
OR4F5,0.0,,,,,
SAMD11,1.3242435753862252,0.7060787818799551,0.0804716406452875,8.774256076029236,1.7203734539978264e-18,1.9153570382795428e-17
NOC2L,5.993085267252561,-0.04762279228691917,0.03647337157368208,-1.3056865935937254,0.19165915890974172,0.2871945912041614
KLHL17,4.164040743217833,0.056956302668048533,0.04377894831987794,1.3009975080234484,0.19325930771123856,0.28905463255297126
PLEKHN1,2.8459341461925045,0.08608961358900113,0.053060629070430895,1.6224763086530443,0.10470140181175985,0.1730699346590859
PERM1,1.5613198904657197,0.2220600951149841,0.07680990845163611,2.8910344979099376,0.003839759681555782,0.009334386646480581
HES4,5.555223252468133,-0.033332037234708914,0.03794696857083753,-0.8783847166206785,0.37973497552615876,0.5025863512018846
ISG15,4.887309811299749,0.12783851012192865,0.04060549941056852,3.148305327545257,0.0016422006500270369,0.004306666526442384
AGRN,6.545537829786273,0.03196701898958295,0.03492806004085397,0.9152245773796883,0.3600737446380792,0.4812733780900569
RNF223,2.0055389895529627,0.429605495485346,0.06438076656027235,6.672885683694919,2.50821772009486e-11,1.7092803498615988e-10
C1orf159,2.20674359595873,-0.014123511606477259,0.06002844214743325,-0.23528032881128444,0.8139911619592208,0.8785607409328051
TTLL10,0.44388595991897783,-0.3103565598447065,0.14793011184009378,-2.0979944920219418,0.035905631934362615,0.06852739372853711
TNFRSF18,4.390179514826785,-0.3756840888248255,0.042888091537908894,-8.759636424781396,1.9588114057071137e-18,2.1762870032233682e-17
TNFRSF4,3.7509394687161177,0.16148200285190284,0.04631629209454962,3.486505407692288,0.0004893754896877074,0.0014156651353688214
SDF4,6.535400809704787,-0.014151221102680545,0.03496087641481356,-0.40477306503347305,0.6856443293091858,0.7850554474179804
B3GALT6,6.095037421803959,0.011945846853347028,0.036184761978684504,0.33013473628440654,0.7412981574634825,0.8276073300124162
C1QTNF12,2.021808947944536,-0.8784407657994723,0.06548746409090224,-13.413876655540074,5.014741034696665e-41,1.6029261521619698e-39
UBE2J2,4.566174494176423,-0.004662096532037374,0.04180849107355376,-0.11151075803801049,0.9112113351249007,0.9446520137623456
SCNN1D,1.951609442630665,0.20110600314578317,0.06415936452228536,3.1344762318512402,0.001721612002223398,0.004490071127702598
ACAP3,4.813463117132519,-0.003080351944326244,0.04069065577367386,-0.07570170314923207,0.9396564209668051,0.962968507746516
PUSL1,5.349417781457391,0.035190332587408675,0.038677766767609124,0.9098336209235065,0.36291026077184807,0.4845018895362951
INTS11,6.004014843439111,0.012978861577978888,0.03646777839063447,0.35589943097032956,0.7219158819570615,0.8128467837598622
CPTP,5.9943059510699666,0.04505547929334845,0.03653464192678623,1.2332262454805933,0.21749136603981767,0.3187161292067095
TAS1R3,2.952814077114063,0.2556848800799712,0.052306089038747755,4.888243123865804,1.0173983797912126e-06,4.377747836120842e-06
DVL1,5.542480730029615,0.08425031029793106,0.038000403244874324,2.2170899017840067,0.02661694872112447,0.052710392611839615
MXRA8,6.093432388484226,0.1710177171437418,0.036328625276986354,4.707519644352714,2.507491234819588e-06,1.0234528450201056e-05
AURKAIP1,8.370049111715458,0.01818501096247438,0.030928160233873885,0.5879758390076288,0.5565485101995861,0.6761176758400823
CCNL2,6.628652088458133,0.04966084270414287,0.03470961113086877,1.430751918161864,0.15250132771917316,0.23783120905671631
MRPL20,6.756042005970861,0.03356898751720231,0.03441372742662631,0.9754534026799314,0.32933540496371994,0.4479898326173271
ANKRD65,5.920206234218278,0.0064002709613938,0.03673525884903451,0.17422691882194302,0.8616871308982077,0.9116555906462289
TMEM88B,0.47359476104492365,0.5054870841034153,0.14054072115696722,3.596730399147777,0.000322242165006856,0.000960822002269193
VWA1,6.7965324468837025,0.20284106981753305,0.03446148762227053,5.88602187000332,3.956019883320226e-09,2.2006726629933994e-08
ATAD3C,1.9544946773373162,0.7797571171560076,0.06682847120213012,11.668037636197688,1.8565633805772957e-31,4.009280973337833e-30
ATAD3B,3.659732735093633,0.023451362087021883,0.04666917657031179,0.5025021611789112,0.6153143325502346,0.728233462928613
ATAD3A,3.6252095117489036,-0.08560331754723922,0.04687261778679936,-1.8262969210852888,0.06780554876764047,0.119303996357218
TMEM240,0.9011338248906191,0.1793990463540394,0.09428963349994936,1.9026380705375818,0.057087787919483636,0.10293052751906899
SSU72,5.107453357437451,0.0390592724619432,0.03956805341363622,0.9871416229053692,0.3235732153232499,0.44205940458425674
FNDC10,5.191516958949915,-0.03150965678922646,0.03924998706803769,-0.802794068049149,0.4220937713539151,0.5467061148505847
MIB2,4.439063548398614,-0.05342199121641182,0.04236371165366751,-1.261031886279185,0.2072973591389412,0.3063816931860865
MMP23B,0.6760311798183721,0.292330507029926,0.10983061270176758,2.661648695557367,0.007775898735712568,0.017603952871322298
CDK11B,3.7867727079419202,0.02424375093697425,0.04586911701423248,0.5285419148018871,0.5971232632988022,0.712250538408389
SLC35E2B,3.9539324954129333,0.21500787740066027,0.045064120459070586,4.771154417535805,1.8317304079132077e-06,7.609380317555898e-06
CDK11A,1.5245921017620507,0.10093698616074821,0.07225611003519505,1.3969335757430488,0.16243354674597976,0.25038794738089504
NADK,4.675295924230042,0.12160143772559971,0.041385433122824326,2.9382666448049264,0.0033005302131037455,0.008135180803718075
GNB1,5.199599790134041,-0.004136609122327062,0.03916445402623718,-0.10562151893029968,0.9158826506153346,0.9477082344025332
CALML6,1.297962642715085,-0.4341914928660335,0.08243741127531366,-5.2669229437103215,1.3872940277925088e-07,6.579130641076631e-07
